,gene,biotype,synonym
0,thrL,protein_coding,ECK0001
1,thrA,protein_coding,"ECK0002,Hs,thrA1,thrA2,thrD"
2,thrB,protein_coding,ECK0003
3,thrC,protein_coding,ECK0004
4,yaaX,protein_coding,ECK0005
5,yaaA,protein_coding,ECK0006
6,yaaJ,protein_coding,ECK0007
7,talB,protein_coding,"ECK0008,yaaK"
8,mog,protein_coding,"bisD,chlG,ECK0009,mogA,yaaG"
9,satP,protein_coding,"ECK0010,yaaH"
10,yaaW,protein_coding,ECK0011
11,mbiA,protein_coding,"ECK0012,htgA,htpY"
12,yaaI,protein_coding,ECK0013
13,dnaK,protein_coding,"ECK0014,groPAB,groPC,groPF,grpC,grpF,seg"
14,dnaJ,protein_coding,"ECK0015,groP,grpC"
15,insL1,protein_coding,"ECK0016,yi81-1"
16,mokC,protein_coding,"ECK0018,gefL"
17,hokC,protein_coding,"ECK0017,gef"
18,sokC,ncRNA,"ECK0019,sof"
19,nhaA,protein_coding,"ant,antA,ECK0020"
20,nhaR,protein_coding,"antO,ECK0021,yaaB"
21,insB1,protein_coding,ECK0022
22,insA1,protein_coding,ECK0023
23,rpsT,protein_coding,"ECK0024,sup(s20),supS,supS20"
24,yaaY,protein_coding,ECK0025
25,ribF,protein_coding,"ECK0026,yaaC"
26,ileS,protein_coding,"ECK0027,ilvS"
27,lspA,protein_coding,"ECK0028,lsp"
28,fkpB,protein_coding,"ECK0029,slpA,yaaD"
29,ispH,protein_coding,"ECK0030,lytB,yaaE"
30,rihC,protein_coding,"ECK0031,yaaF"
31,dapB,protein_coding,ECK0032
32,carA,protein_coding,"arg,cap,ECK0033,pyrA"
33,carB,protein_coding,"cap,ECK0034,pyrA"
34,caiF,protein_coding,ECK0035
35,caiE,protein_coding,ECK0036
36,caiD,protein_coding,"ECK0037,yaaL"
37,caiC,protein_coding,"ECK0038,yaaM"
38,caiB,protein_coding,"ECK0039,yaaN"
39,caiA,protein_coding,"ECK0040,yaaO"
40,caiT,protein_coding,"ECK0041,yaaP"
41,fixA,protein_coding,"ECK0042,yaaQ"
42,fixB,protein_coding,"ECK0043,yaaR"
43,fixC,protein_coding,"ECK0044,yaaS"
44,fixX,protein_coding,"ECK0045,yaaT"
45,yaaU,protein_coding,"ECK0046,yabE"
46,kefF,protein_coding,"ECK0047,yabF"
47,kefC,protein_coding,"ECK0048,trkC"
48,folA,protein_coding,"ECK0049,tmr,tmrA"
49,apaH,protein_coding,"cfcB,ECK0050"
50,apaG,protein_coding,ECK0051
51,rsmA,protein_coding,"ECK0052,ksgA"
52,pdxA,protein_coding,ECK0053
53,surA,protein_coding,ECK0054
54,lptD,protein_coding,"ECK0055,imp,ostA,yabG"
55,djlA,protein_coding,"ECK0056,yabH"
56,yabP,protein_coding,"b4659,ECK0057"
57,yabQ,protein_coding,"b4659,ECK0058"
58,rluA,protein_coding,"ECK0059,yabO"
59,rapA,protein_coding,"ECK0060,hepA,yabA"
60,polB,protein_coding,"dinA,ECK0061"
61,araD,protein_coding,ECK0062
62,araA,protein_coding,ECK0063
63,araB,protein_coding,ECK0064
64,araC,protein_coding,ECK0065
65,yabI,protein_coding,ECK0066
66,thiQ,protein_coding,"ECK0067,sfuC,yabJ"
67,thiP,protein_coding,"ECK0068,sfuB,yabK"
68,thiB,protein_coding,"ECK0069,sfuA,tbpA,yabL"
69,sroA,ncRNA,"ECK4619,tpe79"
70,sgrR,protein_coding,"ECK0070,yabN"
71,sgrS,ncRNA,"ECK0071,ryaA"
72,sgrT,protein_coding,ECK4477
73,setA,protein_coding,"ECK0072,yabM"
74,leuD,protein_coding,ECK0073
75,leuC,protein_coding,ECK0074
76,leuB,protein_coding,ECK0075
77,leuA,protein_coding,ECK0076
78,leuL,protein_coding,"ECK0077,leuIP,leulL,leulLP,leuLP"
79,leuO,protein_coding,ECK0078
80,yabR,protein_coding,ECK4583
81,ilvI,protein_coding,ECK0079
82,ilvH,protein_coding,"brnP,ECK0080"
83,cra,protein_coding,"ECK0081,fruC,fruR,shl"
84,mraZ,protein_coding,"ECK0082,yabB"
85,rsmH,protein_coding,"ECK0083,mraW,yabC"
86,ftsL,protein_coding,"ECK0084,mraR,yabD"
87,ftsI,protein_coding,"ECK0085,pbpB,sep"
88,murE,protein_coding,ECK0086
89,murF,protein_coding,"ECK0087,mra"
90,mraY,protein_coding,"ECK0088,murX"
91,murD,protein_coding,ECK0089
92,ftsW,protein_coding,ECK0090
93,murG,protein_coding,ECK0091
94,murC,protein_coding,ECK0092
95,ddlB,protein_coding,"ddl,ECK0093"
96,ftsQ,protein_coding,ECK0094
97,ftsA,protein_coding,"divA,ECK0095"
98,ftsZ,protein_coding,"ECK0096,sfiB,sulB"
99,lpxC,protein_coding,"asmB,ECK0097,envA"
100,secM,protein_coding,"ECK0098,srrA,yacA"
101,secA,protein_coding,"azi,ECK0099,pea,prlD"
102,mutT,protein_coding,"ECK0100,nudA"
103,yacG,protein_coding,ECK0101
104,zapD,protein_coding,"ECK0102,yacF"
105,coaE,protein_coding,"ECK0103,yacE"
106,yacM,protein_coding,ECK4584
107,guaC,protein_coding,ECK0104
108,hofC,protein_coding,"ECK0105,hopC,yacD"
109,hofB,protein_coding,"ECK0106,hopB"
110,ppdD,protein_coding,ECK0107
111,nadC,protein_coding,ECK0108
112,ampD,protein_coding,ECK0109
113,ampE,protein_coding,ECK0110
114,aroP,protein_coding,"aroR,ECK0111"
115,pdhR,protein_coding,"aceC,ECK0112,genA,yacB"
116,aceE,protein_coding,ECK0113
117,aceF,protein_coding,ECK0114
118,lpd,protein_coding,"dhl,ECK0115,lpdA"
119,yacH,protein_coding,ECK0116
120,acnB,protein_coding,"ECK0117,yacI,yacJ"
121,yacL,protein_coding,ECK0118
122,speD,protein_coding,ECK0119
123,speE,protein_coding,ECK0120
124,yacC,protein_coding,ECK0121
