,0
thrL,ECK0001
thrA,"ECK0002,Hs,thrA1,thrA2,thrD"
thrB,ECK0003
thrC,ECK0004
yaaX,ECK0005
yaaA,ECK0006
yaaJ,ECK0007
talB,"ECK0008,yaaK"
mog,"bisD,chlG,ECK0009,mogA,yaaG"
satP,"ECK0010,yaaH"
yaaW,ECK0011
mbiA,"ECK0012,htgA,htpY"
yaaI,ECK0013
dnaK,"ECK0014,groPAB,groPC,groPF,grpC,grpF,seg"
dnaJ,"ECK0015,groP,grpC"
insL1,"ECK0016,yi81-1"
mokC,"ECK0018,gefL"
hokC,"ECK0017,gef"
sokC,"ECK0019,sof"
nhaA,"ant,antA,ECK0020"
nhaR,"antO,ECK0021,yaaB"
insB1,ECK0022
insA1,ECK0023
rpsT,"ECK0024,sup(s20),supS,supS20"
yaaY,ECK0025
ribF,"ECK0026,yaaC"
ileS,"ECK0027,ilvS"
lspA,"ECK0028,lsp"
fkpB,"ECK0029,slpA,yaaD"
ispH,"ECK0030,lytB,yaaE"
rihC,"ECK0031,yaaF"
dapB,ECK0032
carA,"arg,cap,ECK0033,pyrA"
carB,"cap,ECK0034,pyrA"
caiF,ECK0035
caiE,ECK0036
caiD,"ECK0037,yaaL"
caiC,"ECK0038,yaaM"
caiB,"ECK0039,yaaN"
caiA,"ECK0040,yaaO"
caiT,"ECK0041,yaaP"
fixA,"ECK0042,yaaQ"
fixB,"ECK0043,yaaR"
fixC,"ECK0044,yaaS"
fixX,"ECK0045,yaaT"
yaaU,"ECK0046,yabE"
kefF,"ECK0047,yabF"
kefC,"ECK0048,trkC"
folA,"ECK0049,tmr,tmrA"
apaH,"cfcB,ECK0050"
apaG,ECK0051
rsmA,"ECK0052,ksgA"
pdxA,ECK0053
surA,ECK0054
lptD,"ECK0055,imp,ostA,yabG"
djlA,"ECK0056,yabH"
yabP,"b4659,ECK0057"
yabQ,"b4659,ECK0058"
rluA,"ECK0059,yabO"
rapA,"ECK0060,hepA,yabA"
polB,"dinA,ECK0061"
araD,ECK0062
araA,ECK0063
araB,ECK0064
araC,ECK0065
yabI,ECK0066
thiQ,"ECK0067,sfuC,yabJ"
thiP,"ECK0068,sfuB,yabK"
thiB,"ECK0069,sfuA,tbpA,yabL"
sroA,"ECK4619,tpe79"
sgrR,"ECK0070,yabN"
sgrS,"ECK0071,ryaA"
sgrT,ECK4477
setA,"ECK0072,yabM"
leuD,ECK0073
leuC,ECK0074
leuB,ECK0075
leuA,ECK0076
leuL,"ECK0077,leuIP,leulL,leulLP,leuLP"
leuO,ECK0078
yabR,ECK4583
ilvI,ECK0079
ilvH,"brnP,ECK0080"
cra,"ECK0081,fruC,fruR,shl"
mraZ,"ECK0082,yabB"
rsmH,"ECK0083,mraW,yabC"
ftsL,"ECK0084,mraR,yabD"
ftsI,"ECK0085,pbpB,sep"
murE,ECK0086
murF,"ECK0087,mra"
mraY,"ECK0088,murX"
murD,ECK0089
ftsW,ECK0090
murG,ECK0091
murC,ECK0092
ddlB,"ddl,ECK0093"
ftsQ,ECK0094
ftsA,"divA,ECK0095"
ftsZ,"ECK0096,sfiB,sulB"
lpxC,"asmB,ECK0097,envA"
secM,"ECK0098,srrA,yacA"
secA,"azi,ECK0099,pea,prlD"
mutT,"ECK0100,nudA"
yacG,ECK0101
zapD,"ECK0102,yacF"
coaE,"ECK0103,yacE"
yacM,ECK4584
guaC,ECK0104
hofC,"ECK0105,hopC,yacD"
hofB,"ECK0106,hopB"
ppdD,ECK0107
nadC,ECK0108
ampD,ECK0109
ampE,ECK0110
aroP,"aroR,ECK0111"
pdhR,"aceC,ECK0112,genA,yacB"
aceE,ECK0113
aceF,ECK0114
lpd,"dhl,ECK0115,lpdA"
yacH,ECK0116
acnB,"ECK0117,yacI,yacJ"
yacL,ECK0118
speD,ECK0119
speE,ECK0120
yacC,ECK0121
cueO,"ECK0122,yacK"
gcd,ECK0123
hpt,ECK0124
can,"ECK0125,yadF"
yadG,ECK0126
yadH,ECK0127
yadI,"agaX,ECK0128"
yadE,ECK0129
panD,ECK0130
