gene,biotype
thrL,protein_coding
thrA,protein_coding
thrB,protein_coding
thrC,protein_coding
yaaX,protein_coding
yaaA,protein_coding
yaaJ,protein_coding
talB,protein_coding
mog,protein_coding
satP,protein_coding
yaaW,protein_coding
mbiA,protein_coding
yaaI,protein_coding
dnaK,protein_coding
dnaJ,protein_coding
insL1,protein_coding
mokC,protein_coding
hokC,protein_coding
sokC,ncRNA
nhaA,protein_coding
nhaR,protein_coding
insB1,protein_coding
insA1,protein_coding
rpsT,protein_coding
yaaY,protein_coding
ribF,protein_coding
ileS,protein_coding
lspA,protein_coding
fkpB,protein_coding
ispH,protein_coding
rihC,protein_coding
dapB,protein_coding
carA,protein_coding
carB,protein_coding
caiF,protein_coding
caiE,protein_coding
caiD,protein_coding
caiC,protein_coding
caiB,protein_coding
caiA,protein_coding
caiT,protein_coding
fixA,protein_coding
fixB,protein_coding
fixC,protein_coding
fixX,protein_coding
yaaU,protein_coding
kefF,protein_coding
kefC,protein_coding
folA,protein_coding
apaH,protein_coding
apaG,protein_coding
rsmA,protein_coding
pdxA,protein_coding
surA,protein_coding
lptD,protein_coding
djlA,protein_coding
yabP,protein_coding
yabQ,protein_coding
rluA,protein_coding
rapA,protein_coding
polB,protein_coding
araD,protein_coding
araA,protein_coding
araB,protein_coding
araC,protein_coding
yabI,protein_coding
thiQ,protein_coding
thiP,protein_coding
thiB,protein_coding
sroA,ncRNA
sgrR,protein_coding
sgrS,ncRNA
sgrT,protein_coding
setA,protein_coding
leuD,protein_coding
leuC,protein_coding
leuB,protein_coding
leuA,protein_coding
leuL,protein_coding
leuO,protein_coding
yabR,protein_coding
ilvI,protein_coding
ilvH,protein_coding
cra,protein_coding
mraZ,protein_coding
rsmH,protein_coding
ftsL,protein_coding
ftsI,protein_coding
murE,protein_coding
murF,protein_coding
mraY,protein_coding
murD,protein_coding
ftsW,protein_coding
murG,protein_coding
murC,protein_coding
ddlB,protein_coding
ftsQ,protein_coding
ftsA,protein_coding
ftsZ,protein_coding
lpxC,protein_coding
secM,protein_coding
secA,protein_coding
mutT,protein_coding
yacG,protein_coding
zapD,protein_coding
coaE,protein_coding
yacM,protein_coding
guaC,protein_coding
hofC,protein_coding
hofB,protein_coding
ppdD,protein_coding
nadC,protein_coding
ampD,protein_coding
ampE,protein_coding
aroP,protein_coding
pdhR,protein_coding
aceE,protein_coding
aceF,protein_coding
lpd,protein_coding
yacH,protein_coding
acnB,protein_coding
yacL,protein_coding
speD,protein_coding
speE,protein_coding
yacC,protein_coding
cueO,protein_coding
gcd,protein_coding
hpt,protein_coding
can,protein_coding
yadG,protein_coding
yadH,protein_coding
yadI,protein_coding
yadE,protein_coding
panD,protein_coding
rpnC,protein_coding
panC,protein_coding
panB,protein_coding
yadC,protein_coding
yadK,protein_coding
yadL,protein_coding
yadM,protein_coding
htrE,protein_coding
yadV,protein_coding
yadN,protein_coding
folK,protein_coding
pcnB,protein_coding
gluQ,protein_coding
dksA,protein_coding
sfsA,protein_coding
thpR,protein_coding
hrpB,protein_coding
mrcB,protein_coding
fhuA,protein_coding
fhuC,protein_coding
fhuD,protein_coding
fhuB,protein_coding
hemL,protein_coding
yadX,protein_coding
clcA,protein_coding
yadW,protein_coding
erpA,protein_coding
yadS,protein_coding
btuF,protein_coding
mtn,protein_coding
dgt,protein_coding
degP,protein_coding
cdaR,protein_coding
yaeH,protein_coding
yaeI,protein_coding
dapD,protein_coding
glnD,protein_coding
map,protein_coding
tff,ncRNA
rpsB,protein_coding
tsf,protein_coding
pyrH,protein_coding
frr,protein_coding
dxr,protein_coding
uppS,protein_coding
cdsA,protein_coding
rseP,protein_coding
bamA,protein_coding
skp,protein_coding
lpxD,protein_coding
fabZ,protein_coding
lpxA,protein_coding
lpxB,protein_coding
rnhB,protein_coding
